date,vaccination.pfizer.delivered,vaccination.moderna.delivered,vaccination.az.delivered
2020-12-26,11.700,,
2020-12-30,8.190,,
2021-01-04,19.890,,
2021-01-11,19.890,,
2021-01-12,,1.200,
2021-01-18,9.360,,
2021-01-25,19.890,,
2021-01-31,,2.400,
2021-02-01,17.550,,
2021-02-05,,4.800,
2021-02-06,,,9.600
2021-02-09,17.550,,
2021-02-11,,,9.600
2021-02-15,21.060,,
2021-02-18,,,16.800
2021-02-22,22.230,,
2021-02-25,,,16.800
2021-02-25,,8.400,
2021-03-01,19.890,,
2021-03-04,,,21.600
2021-03-08,19.890,,
2021-03-11,,,14.400
2021-03-12,,12.000,
2021-03-15,19.890,,
2021-03-19,,,4.800
2021-03-22,29.250,,
2021-03-25,,18.000,